# Numerov wave function for l=5
# r  Re(psi)  Im(psi)
11.700000  -0.2195014483  -0.0412769382
11.720000  -0.2010903956  -0.0341927794
11.740000  -0.1826011577  -0.0270953264
11.760000  -0.1640408649  -0.0199873302
11.780000  -0.1454166876  -0.0128715502
11.800000  -0.1267358329  -0.0057507538
11.820000  -0.1080055421  0.0013722856
11.840000  -0.0892330875  0.0084947888
11.860000  -0.0704257701  0.0156139728
11.880000  -0.0515909162  0.0227270510
11.900000  -0.0327358744  0.0298312353
11.920000  -0.0138680132  0.0369237364
11.940000  0.0050052824  0.0440017654
11.960000  0.0238766137  0.0510625347
11.980000  0.0427385716  0.0581032594
12.000000  0.0615837388  0.0651211582
12.020000  0.0804046939  0.0721134547
12.040000  0.0991940134  0.0790773783
12.060000  0.1179442755  0.0860101657
12.080000  0.1366480625  0.0929090618
12.100000  0.1552979644  0.0997713209
12.120000  0.1738865816  0.1065942079
12.140000  0.1924065281  0.1133749992
12.160000  0.2108504343  0.1201109841
12.180000  0.2292109505  0.1267994661
12.200000  0.2474807495  0.1334377635
12.220000  0.2656525299  0.1400232110
12.240000  0.2837190191  0.1465531604
12.260000  0.3016729763  0.1530249823
12.280000  0.3195071954  0.1594360667
12.300000  0.3372145085  0.1657838242
12.320000  0.3547877884  0.1720656875
12.340000  0.3722199519  0.1782791119
12.360000  0.3895039625  0.1844215769
12.380000  0.4066328338  0.1904905869
12.400000  0.4235996323  0.1964836726
12.420000  0.4403974801  0.2023983918
12.440000  0.4570195583  0.2082323306
12.460000  0.4734591094  0.2139831045
12.480000  0.4897094408  0.2196483593
12.500000  0.5057639271  0.2252257721
12.520000  0.5216160134  0.2307130526
12.540000  0.5372592178  0.2361079439
12.560000  0.5526871346  0.2414082232
12.580000  0.5678934367  0.2466117035
12.600000  0.5828718784  0.2517162339
12.620000  0.5976162986  0.2567197009
12.640000  0.6121206229  0.2616200293
12.660000  0.6263788666  0.2664151830
12.680000  0.6403851372  0.2711031661
12.700000  0.6541336372  0.2756820236
12.720000  0.6676186664  0.2801498424
12.740000  0.6808346249  0.2845047523
12.760000  0.6937760148  0.2887449264
12.780000  0.7064374435  0.2928685827
12.800000  0.7188136258  0.2968739840
12.820000  0.7308993860  0.3007594394
12.840000  0.7426896607  0.3045233049
12.860000  0.7541795008  0.3081639839
12.880000  0.7653640740  0.3116799283
12.900000  0.7762386665  0.3150696391
12.920000  0.7867986861  0.3183316670
12.940000  0.7970396632  0.3214646132
12.960000  0.8069572537  0.3244671302
12.980000  0.8165472407  0.3273379220
13.000000  0.8258055365  0.3300757452
